板块名,标题,作者,日期,新闻内容
证券,越南制造业重镇闹“电荒”，出口进一步承受重压,界面新闻,2023年06月13日 00:00,随着厄尔尼诺现象卷土重来，旨在成为全球制造新中心的越南因高温提前到来遇到了能源难题。由于水力发电骤降，进入6月以来，三星、富士康、佳能等“大厂”入驻的越南北部陷入电荒。多地居民遭遇长时间停电，民众为避酷暑躲进山洞；工业园区和制造厂则被要求减少高峰时用电或者轮流停电。如果本轮电荒严重影响“大厂”生产，将让越南出口再承受新压力。由于欧美市场需求疲软，今年前五个月，越南出口已同比下跌。这个东南亚国家的夏季从5月开始，但今年5月初，北部地区的最高气温已经飙升至44℃以上。高温提前到来在推高用电需求之时，也冲击了北部的水力发电。当地的电力主要来自煤炭和水能。据越南媒体统计，截至上周，越南北部有11座水电站因河流水位过低而被迫停运，部分河流水量甚至不足正常水量的40%。越南电力管理局统计的数据显示，截至6月5日，该国北部的所有电力供应仅为总装机容量的40.8%。可用的水电装机容量降至3110兆瓦，仅达到装机容量的23.7%。燃煤发电则出现设备故障等问题，北部地区火电厂发电量降至11934兆瓦，只有设计发电量的76.6%。相比干旱的北部地区，越南中部和南部自上月就迎来降雨，目前没有出现严重用电问题。越南电力管理局局长TranVietHoa指出，即便加上中部和南部对北部的支援，北部地区发电量仅为17500兆瓦到17900兆瓦。但当地用电需求量在23500兆瓦到24000兆瓦之间。由于高温干旱，越南北部地区从5月底就开始采取节能措施。首都河内每天缩短公共照明一个小时，当局呼吁民众把空调温度设置在26℃以上、不使用的电子设备调至关闭状态。对于企业用户，当局呼吁工业企业在非用电高峰时段开工。超过1万家企业同意政府提议，尽可能减少用电量。但从上周开始，包括河内在内的北部市镇依然出现停电。河内北慈廉郡（BacTuLiemDistrict）部分居民区从早上10点停电至晚上7点；章美地区（ChuongMyDistrict）村庄NghiaHao则从5月底开始每天停电，停电时间长达12个小时，当地居民纷纷前往附近山洞避暑。从6月3日到11日，北部港口城市海防下属的11个区遭遇间歇性停电，每次停电约三小时。直到上周末，越南北部大部分地区的高温持续，部分省份气温超过37℃。但越南中央水文气象预报中心预测，从12日开始到15日，北部地区将出现强降雨，有利于缓解水力发电不足问题。越南北部设有众多工业园区，北宁省和北江省则是电子制造重镇，三星电子、富士康、佳能、等公司在当地设有工厂。上周，佳能位于北宁省的工厂连续两天遭遇间歇性停电，北江政府则要求当地工厂将部分生产作业推迟到晚上10点之后。据日经社报道，日本住友商事运营的河内升龙工业园上周收到越南电力局的通知，要求工业园区从周五到周日晚将用电量减半。松下、Toto、信越化学工业株式会社都在园区内设有厂房。《华尔街日报》援引业内人士消息称，三星电子、富士康、立讯精密等苹果公司供应商也收到了越南电力公司的通知，要求各企业考虑轮流停电或者减少高峰时期用电。苹果公司尚未对相关说法置评，目前不清楚该公司生产是否受到本轮电荒影响。据业内人士透露，越南北部地区的供电从5月中旬就开始紧张，当地政府已经要求各企业做好准备应对电力短缺，短缺可能持续到6月底。消息人士还透露，越南政府要求富士康的部分工厂考虑在20天内暂停从黄昏到午夜的作业，但可以从午夜到黎明重新开工。目前富士康在越南的大部分业务还在正常运行，但该公司考虑明年自己建发电设备。一旦北部地区的电荒持续、严重影响跨国企业生产，将对越南的出口再次造成冲击。由于美国和欧盟需求减少，今年以来，越南出口持续下滑。越南国家统计局上月底公布的数据显示，今年1月到5月，越南出口额为1361.7亿美元，同比下降11.6%；进口额为1263.7亿美元，同比下跌17.9%。该国海关总署周一公布的数据显示，今年前五个月，越南的进出口预算收入超过65亿美元，同比下降18%。为了解决电荒问题，越南正在考虑各种办法。据彭博社报道，考虑的解决办法包括快速批准已完工的可再生能源项目投产，甚至首次允许从海外进口液化天然气。5月底，中国广西与越南签署了110千伏深沟至芒街联网工程购售电协议，为时隔七年以来首次恢复对越供电。从2005年到2016年，广西通过中越电力联网共向越南送电超11亿千瓦时，此后中断了七年。从长远来看，扩大电力生产也是越南的重要任务之一。越南政府上月批准了第八个国家电力发展规划，准备投入1347亿美元用于电力发展，并加大可再生能源的使用。根据该计划，2050年越南将停止煤炭发电，将成为该国最大电力来源，占比33%以上，其次为风能和水能。但在此之前，直到2030年，该国最大电力来源依然为煤炭和水能，分别占20%和19.5%。
保险,扎堆“补血” 中小险企求解偿付能力危机,媒体滚动,2023年06月12日 23:59,转自：北京商报险企补充资本的需求正持续释放。华泰人寿近日发布公告称，公司拟新增注册资本6.8亿元，本次增资后，该公司注册资本将达约43亿元。不止华泰人寿，6月12日，北京商报记者梳理发现，今年以来，包括阳光保险、国宝人寿、财信吉祥人寿等在内的15家险企或发布增资计划，或增资方案获批。整体而言，今年以来，险企拟增加注册资本资金规模共超150亿元。险企增资“补血”背后，谁在力挺？中小险企补血“压力山大”，如何缓解？中小险企是“主角”险企持续平稳发展离不开资本金的支持。从年初爱心人寿增资3.2亿元获批，到近日华泰人寿公布拟增资6.8亿元的方案，险企今年以来延续了去年“补血”的趋势，正加快增资步伐来进行“输血”。据北京商报记者不完全统计，今年以来，共有包括阳光保险、太平财险、太保财险在内的15家险企发布增资计划或增资方案获得监管批复。从规模来看，中小型险企依旧是增资“补血”主力军，其中包括财信吉祥人寿、华贵人寿、国宝人寿、君龙人寿、汇丰人寿、泰康养老、中原农险、爱心人寿、复星联合健康、长城人寿等。从增资金额上看，多集中于5亿-10亿元。从出资主体来看，国资股东发挥着关键作用。长城人寿增资公告显示，3家机构参与了长城人寿的此轮增资，将共同为长城人寿注资近11亿元，其中两家新股东均为国资背景。不止长城人寿，地方国资对所在地险企增持的情况频现。比如，中原农险5月公告称，拟增发18.91亿股，拟增资的股份由河南投资集团有限公司、河南农开产业基金投资有限责任公司两家地方国资背景股东认购；国宝人寿增资也有两家国资股东参与，分别是其第一大股东四川发展（控股）有限责任公司和四川金融控股集团有限公司。在业内人士看来，地方国资入局不仅可以带来更多资源，还将利于增强企业的公信力。其实，除了地方国资加码，大健康产业的跨界联动也成为一大看点。时隔仅数月，爱心人寿又启动了新一轮的增资计划。近期，爱心人寿发布公告称，拟新增注册资本3亿元，将注册资本金从20.2亿元增至23.2亿元，若增资事项落地，爱心人寿将获得北京健康产业集团第二次增资。普华永道中国金融行业管理咨询合伙人周瑾表示，总体而言，在当前的宏观经济环境下，国资股东的出资能力和出资意愿都较民营股东更强。但对于很多大型央企控股的险企而言，由于央企回归主责主业的要求，继续增加其对险企的投资很难获得国资委批准。但对于地方国资而言，大多数地方政府还是希望加大对金融的布局，因此地方险企也更容易通过增资方案。自我“造血”能力保险公司密集增资“补血”，意在提高偿付能力。周瑾表示，2022年偿二代二期规则正式实施，采用更加严格的资本认定标准和风险计量因子，加上资本市场的波动使得保司投资收益下降甚至净资产减少，行业整体的资本补充压力很大。据国家金融监督管理总局披露，截至2023年一季度末，185家保险公司中，累计有27家保险公司处于偿付能力“不达标”状态。与此同时，部分中小险企的增资难度陡增，这背后离不开近两年民营资本布局保险业的热情整体下降这一大背景。中国保险保障基金有限责任公司发布的《中国保险业风险评估报告2022》便指出，保险业资本供需不匹配将导致保险公司特别是中小保险公司资本压力增大。业内人士指出，在此背景之下，提升险企自身的“造血”能力才是稳固其长久发展的根基。值得关注的是，监管也在不断拓宽险企的资本补充机制。2022年8月，原银保监会发布《关于保险公司发行无固定期限资本债券有关事项的通知》，明确保险公司可通过发行无固定期限资本债券补充核心二级资本，进一步拓宽了保险公司资本补充渠道。不过，提高“造血”能力对于险企而言并非易事。对于建立险企的自我“造血”能力，周瑾表示，险企要摒弃规模执念，要打造价值创造能力，探索高质量发展模式，通过自身竞争能力来提升盈利水平，通过剩余边际的盈余留存，再辅以多元化的资本补充方式，以获得自我的资本补充能力来支撑业务的可持续发展。北京联合大学管理学院金融系教师杨泽云此前对记者表示，对于经营较好的保险公司，资本公积、留存收益等内源性融资也是重要的资本来源。另外，保险公司还可以通过再保险的方式降低财务风险，防范因赔偿支付较多而引发的资本不足问题。北京商报记者陈婷婷胡永新责任编辑：张文
国际财经,美联储淡化对工资增长的关注 为暂停加息提供更多支撑,环球市场播报,2023年06月13日 00:00,但官员和经济学家的最新研究和评论表明，工资和价格之间的联系可能并不是那么直接。而且这些研究和评论发表的时机刚好是在美联储可能接近历史性加息周期尾声之际。“如果工资和通胀之间的联系不像决策者所认为的那么紧密，那么确实会面临劳动力市场大幅走弱，而降通胀却进展有限的风险，”EmployAmerica的高级经济学家PrestonMui表示，“这种不确定性足以让他们在下次会议上倾向于不加息。”该智库支持有利于工薪族的政策。今年早些时候，几家银行倒闭后信贷条件收紧的前景有助于解释决策者愿意暂停的原因。对工资的态度初步出现转变也是如此。美联储5月2-3日的政策会议纪要暗示了转变。特别谈及服务业通胀时，只有“一些与会者认为劳动力市场状况需要进一步缓和”才能把通胀降下来，而上次3月会议纪要显示，“与会者普遍认为”劳动力市场降温有必要。“我不认为工资是通胀的主要驱动因素，”美联储主席鲍威在5月会议结束后向记者表示，“我认为工资和物价往往一起变动，很难说谁造成了谁的波动。”鲍威尔的讲话暗含了新出现工资与价格之辩中有个关键问题：工资是通胀的主要推手，还是通胀更有可能是工资的推手？官员们最近几个月的公开评论显示，后一种解释追随者日众。与此同时，美联储内部的新研究也支持这一观点。旧金山联储经济学家AdamShapiro上月在该行网站发布的文章中称，一项统计研究表明，近年来，工资增长加快对服务业通胀率上升的贡献微乎其微。他指出，企业可以通过降低利润、采用自动化和其他方法来提高效率，以“消化”这些成本。他还表示，“最近的证据表明，工资增长倾向于跟随通胀，以及对未来通胀的预期。”疫情爆发前，俄勒冈州波特兰市的服装零售公司PalomaClothing通常每年年初给员工高达3%的绩效工资。但通胀改变了这一做法。这家零售店的客户经理TraciBurnes表示，现在依靠更大力度的加薪和稳健的福利来留住大约20名员工。“通胀跟我们的加薪有很大关系，”Burnes称。但她表示，尽管工资上涨，但这家已经经营了近50年的公司已避免在不必要的时候把这些成本转嫁给消费者。“这绝对是分情况来看的。我们没有全面提价，”她说。很多像PalomaClothing这样的公司继续面临加薪压力。全国独立企业联合会（NFIB）的调查显示，5月加薪的小企业主净占比仍处于历史高位，达41%。不过，计划在未来三个月加薪的企业占比最近几个月已降至疫情前水平，约为五分之一。为了消化成本的上升，这些企业首先会试着接受更低的利润率，然后才会试着以提价形式把成本转接给客户，因为他们“试图在加薪幅度和保持竞争力之间找平衡”，NFIB研究中心执行董事HollyWade表示。InflationInsightsLLC的总裁和创始人OmairSharif表示，工资压力并未完全映射到对服务业通胀推升作用最大的消费者价格指数分项。但即使撇开工资问题不谈，他认为，随着旅游相关行业势头减弱，未来几个月物价涨幅将急剧下降。责任编辑：周唯
国际新闻,“近30年来最严重”，澳大利亚总理发声！,环球时报,2023年06月12日 23:54,
国际财经,韩国央行行长称要注意金融行业风险 房地产贷款逾期正在上升,环球市场播报,2023年06月12日 23:55,韩国央行当前化解这一风险的能力可能会较为有限，更多的贷款和资产已转移到不受央行监管的非银行金融机构。他在讲话中提到，这些替代机构的存款占比已超过银行，并且高度关联。“随着非银行业务愈发重要，体系日益复杂，如果只是把注意力放在银行身上，很难实现整个国民经济的金融稳定目标，”李昌镛表示。他要求加强与监管部门的合作，“如有必要，应制定实现金融稳定目标的措施。”李昌镛还谈到了整体经济状况。他表示，鉴于核心通胀需要更长时间降温，现在对通胀正在放缓抱有信心还为时过早。他指出，需要采取“复杂的政策措施”来应对经济增长和通胀压力不断变化的格局，并补充道韩国央行需要为经常账户余额和流动性适当水平可能出现变化做准备。责任编辑：周唯
美股,欧股主要指数普遍收涨，德国DAX30指数涨0.87%,环球市场播报,2023年06月12日 23:54,欧股主要指数普遍收涨，德国DAX30指数涨0.87%，英国富时100指数涨0.1%，法国CAC40指数涨0.59%，欧洲斯托克50指数涨0.63%。责任编辑：郭明煜
国际财经,一些大型资管机构提醒 押注美国经济躲过衰退是个错误,环球市场播报,2023年06月12日 23:51,在他们看来，连续10次加息带来的损害已经造成，3月份3家美国的银行倒闭，只是更大危机来临的前奏。在各地央行维持鹰派之际，说不定哪个环节还会发生断裂。就在上周，加拿大和澳大利亚意外升息，这加大了美联储在即将到来的会议上跟进的压力，毕竟通胀率仍然居高不下。“我最担心的是类似于信贷危机一类的事情，”富达国际全球固定收益首席投资官SteveEllis说道。该公司管理着6，630亿美元资产。他说，中央银行持续紧缩表明他们战斗不已。Ellis已经增加了久期风险，这是市场上对国债等利率敏感资产的说法，理由是当央行被迫暂停升息或放松政策时，它们将表现出色。他预计10年期美国国债收益率到年底将跌至3%，比当前水平低近75个基点，因为市场开始意识到经济衰退将比大多数人想象的更严重。Ellis表示，与此同时，垃圾级公司债似乎容易出现回调。富达的分析显示，该领域消化的公司违约率约为4.6%，而实际上接近8%。在安联投资的投资组合经理MikeRiddell看来，股票、债券和公司债券没有正确地反映风险，只有通胀互换正确反映了经济前景。所谓1年后的1年远期通胀率目前为2.4%，若剔除投资者风险补偿后，则接近2%。他说，这意味着未来6个月内将出现“恶性衰退”。“我们的基本假设是，经济将出现温和至深度的衰退，并可能爆发危机，因为去年前所未有的全球政策紧缩，开始真正发挥作用，”Riddell说。他建议看涨利率产品，并看跌信用债等风险资产。货币市场交易员押注美联储在7月底前加息25个基点的概率为90%。投资者还预计欧洲央行从下周的会议开始，至少还将再加息50个基点，尽管欧元区一季度经济已经萎缩，且德国经济面临越来越多的问题。诚然，经济衰退显现的时间比年初许多人的预期要迟得多，而且经济可能继续战胜预期。5月份美国非农就业人数激增，超过所有预估。美国政府债务上限问题得以化解，也有助于改善市场情绪，高盛经济学家因此降低未来12个月美国经济衰退的概率至25%。高盛集团首席运营官JohnWaldron表示，经济衰退可能不会发生。去年第四季度的信用卡余额达到了9，860亿美元，但在第一季度，这个数字大致持平，还是20多年的首次。通常情况下，随着人们在假日季偿还债务，这个数字会下降。“消费者负担很重，所以我不能100%确定目前软着陆真的很现实，”PGIM投资组合经理PatrickMcDonough说道。“下行的可能性越来越大，只是因为我们一直得到消费者的支撑。”责任编辑：周唯
资讯,高盛CEO：通胀依然顽固 美联储可能提高利率,环球市场播报,2023年06月12日 23:48,Solomon表示，他对经济表现出的韧性感到惊讶，其补充说，“我们可以以比预期更为软着陆的方式来渡过难关”。这位高盛首席执行官的讲话经常比该行首席经济学家JanHatzius更为谨慎。后者的团队将美国未来12个月经济衰退的预期概率下调至25%，原因是银行业压力减弱，而且两党同意暂停美国的债务上限。Solomon表示，随着投资者和企业有时间消化新的经济形势并重新调整计划，过去一年来乏善可陈的资本市场活动可能会在步入2024年前开始复苏。责任编辑：周唯
港股,广信材料(300537.SZ)：公司2022年度PCB光刻胶产量为8065.79吨，收入3.1亿元,市场资讯,2023年06月12日 23:42,"来源：格隆汇格隆汇6月12日丨广信材料(300537.SZ)在6月12日15:30-16:30特定对象调研表示，公司2022年度PCB光刻胶产量为8,065.79吨，收入3.1亿元，主要是在宏观环境、行业需求波动、上游原材料供应受限及价格波动等因素叠加影响下，公司基于现有资源配置向龙南基地建设倾斜，从利润及现金流贡献出发，根据利润贡献度，策略性优化部分客户资源，新市场开拓力度有所放缓，一定程度上减少了公司营业收入。公司龙南基地计划2023年达到试生产条件，在自产原材料降本、集中生产优化生产成本、贴近下游华南客户等方面更有力地支撑市场开拓，随着下游需求发展，公司PCB光刻胶将实现稳步增长。"
国内新闻,这些年轻人为什么选择离开一线城市？,成都商报,2023年06月12日 23:42,
