板块名,标题,作者,日期,新闻内容
经济新闻滚动,OPEC+突然减产“背刺”美国 拜登政府将如何应对？,市场资讯,2023年04月04日 23:58,财联社分析人士指出，这一方面拜登这一部分的原因或许在于美国国内政治格局的变化，另一部分原因，也可能因为拜登在面对OPEC+减产的举措时，手中已经拿不出应对的牌了。拜登为何表态克制？尽管在OPEC+减产后，美国国家安全委员会发言人柯比（JohnKirby）和美国财长耶伦都表态称，OPEC+的减产行为是“不明智”和“缺乏建设性”的。但美东时间周一，拜登在明尼苏达州被问及关于此事的看法时，态度却相对缓和：“事情不会像你想象得那么糟糕。”事实上，不可否认的是，OPEC+减产将可能推升油价，从而令美国面临更大的通胀压力。在美国银行业还未能彻底走出危机之际，假如通胀压力进一步提高，美联储也将因此陷入更进退两难的地步。然而，拜登政府的态度却相对克制，尤其是与去年10月时的姿态相比就更能体现出明显不同。在去年10月OPEC+宣布减产时，拜登就曾严词指责OPEC+此举相当于和俄罗斯结盟，甚至放狠话说“要让沙特阿拉伯承担后果”。如今，拜登的态度却大幅转变。分析人士指出，在去年10月OPEC+减产时，拜登之所以表现出强烈不满，是因为当时正恰逢美国11月中期选举前夕。当时的民主党人显然担心在OPEC+减产后，美国汽油价格可能进一步上涨并推升通胀，从而导致民主党失去更多选票。而如今，在中期选举已经结束后，民主党人暂时不需要太过担忧选票的压力，同时还需要缓和美国和沙特阿拉伯的外交关系。今年早些时候，拜登还访问了沙特，并会见了沙特王储穆哈穆德·本·萨勒曼。拜登手里已经没牌了而更为要命的在于，和去年10月相比，在这次OPEC+减产以后，拜登目前手中已经没有更多的牌了。如果我们细数拜登政府常用的打压油价的手段，会发现目前这些手段的效果恐怕都会很有限。（一）释放石油战略储备拜登的确有可能释放石油战略储备。但问题在于，在俄乌冲突引发油价飙升后，美国能源部去年已经历史性地释放了1.8亿桶的石油储备，这使得美国能源部当前已经没有太多释放空间，而优先事项反而是重新补充石油储备。而同时，由于美国政府四个石油储备点中有两个仍在维护，补充油储的进度已经遭到推迟。美国能源部长詹妮弗·格兰霍姆已经警告称，假如要紧急释放油储，可能会进一步推迟补充计划。（二）向美国油企施压拜登当然也可以选择敦促美国国内石油生产商加大产量——但很显然，尽管过去一年拜登一直在这么做，可收效一直甚微。无论拜登如何“嘴炮攻击”和“加税警告”，但美国石油行业都采取“无视”态度，都不愿意加大钻探力度，美国的石油产量也始终增长有限。施耐德资本集团有限责任公司（theSchneiderCapitalGroupLLC）分析师蒂姆·施耐德（TimmSchneider）表示：（三）重启NOPEC法案NOPEC（反石油生产和出口卡特尔）法案也是美国国会过去二十多年反复提及的老手段了。该法案允许美国起诉OPEC或其成员国的价格操纵行为，旨在让OPEC对其限制世界石油供应的行为负责。自1999年以来，美国国会就一直在讨论各种形式的NOPEC法案，但之后几乎都没有下文。在去年10月OPEC+宣布减产时，白宫也曾暗示可能会支持NOPEC法案通过，但最终拜登政府还是放弃了这一选项。阻止美国下决心通过NOPEC法案的原因，在于该法案可能对美国外交关系和国防工业产生巨大的不利影响。比如在2019年，沙特就曾警告称，假如美国通过NOPEC法案，沙特将会终止石油美元协议——这对于美国来说影响巨大，将会削弱美元作为世界主要储备货币的地位，并动摇美国在全球贸易中的影响力。（四）限制出口拜登政府还可能限制美国汽油和柴油的出口，从而抑制国内汽柴油价格上涨。在去年，白宫曾考虑将这一选项作为抑制油价的一种潜在手段，但并未付诸行动。不过有分析人士表示，假如拜登政府真的实施这一限制措施，可能会适得其反，反而导致美国部分地区汽柴油价格上涨。咨询公司RapidanGroup总裁、前白宫官员鲍勃•麦克纳利（BobMcNally）表示：“如果进入夏季时，汽油价格仍为每加仑4美元，我认为他们也会重新考虑产品出口限制…如果这导致石油市场过度紧张——那么市场需要做好准备，迎接大幅的波动。”综上看来，拜登手里似乎已经没有更多的应对招数可以奏效了。正如前奥巴马政府能源特使、现任咨询公司GoldwynGlobalStrategies总裁大卫·戈德温（DavidGoldwyn）所说，在当下的环境下，也许拜登只能选择按兵不动了。
经济新闻滚动,瑞士央行：若无瑞银收购 瑞信早已破产并引发全球金融海啸,市场资讯,2023年04月04日 23:56,财联社Schlegel补充道，如果瑞银集团没有在3月19日宣布收购瑞士信贷银行，那么后者可能会在下一个交易日破产。戏剧性的3月上月，全球银行业系统经历了戏剧性局面，在美国硅谷银行倒闭的风波席卷全球市场后，瑞信也陷入了危机漩涡中。3月19日，在当局的撮合下，瑞银同意以30亿瑞士法郎（合33亿美元）收购瑞士信贷。由于形势的紧迫性，这笔交易在没有得到瑞信和瑞银股东批准的情况下达成。瑞士财政部长KarinKeller-Sutter此前曾认为，如果没有救助，瑞信将一天也撑不下去。Schlegel将此次合并形容为“糟糕解决方案中的最佳方案”。不过Schlegel也坚定指出，对金融稳定的担忧不会阻止瑞士央行提高利率。不妨碍加息瑞士央行自去年6月以来一直在收紧货币政策，并在3月23日瑞信危机风波未平之际就宣布加息50个基点。Schlegel在此次采访中坚称，“我们的使命是稳定价格。我们将尽一切努力使通货膨胀恢复到我们的目标水平。还没有迹象表明瑞士的金融稳定受到任何威胁。”他补充道，“如果有必要，我们将再次提高利率。”瑞士联邦统计局周一（4月3日）早些时候公布的数据显示，3月份瑞士消费者价格指数（CPI）同比增长2.9%，放缓幅度大于预期。对此，瑞士嘉盛银行首席经济学家KarstenJunius称，这意味着瑞士央行可以暂时“喘口气”。但他预计，在6月份的下一次议息会议上，瑞士央行仍将加息25个基点，但可能不会采取进一步措施。责任编辑：周唯
外汇,监管风暴愈演愈烈 拜登将与科学顾问讨论AI的风险,市场资讯,2023年04月04日 23:54,财联社白宫官员称：“总统将讨论保护权利和安全的重要性，以确保负责任的创新和适当的保障措施。他将呼吁国会通过两党隐私法，以保护孩子，并限制科技公司收集我们所有人的个人数据”。以聊天机器人ChatGPT为代表的生成式AI崛起后，如何监管这些新技术正成为政策制定者的热门话题。上周，科技伦理组织人工智能和数字政策中心要求美国联邦贸易委员会（FTC）组织OpenAI发布新的GPT-4商用版本，理由是GPT-4“有偏见性，欺骗性，对隐私和公共安全构成风险”。同样是在上周，包括埃隆·马斯克在内的1000多名行业高管和专家签署公开信，呼吁在6个月内暂停高级AI的开发。美国国会民主党参议员克里斯·墨菲（ChrisMurphy）也针对AI发出了警告。而在大西洋彼岸的欧洲，监管者已经付诸行动。上周五，意大利个人数据保护局宣布对OpenAI涉嫌非法收集用户信息展开调查，并屏蔽了ChatGPT，同时暂时限制OpenAI处理意大利用户数据。根据周一发表在德国媒体上的评论，德国数据专员乌尔里希·凯尔伯（UlrichKelber）表示，德国可能会效仿意大利，以数据安全方面的担忧为由，屏蔽ChatGPT。此外，法国和爱尔兰方面也联系了意大利数据监管机构，并讨论了调查结果。责任编辑：周唯
瞬间清零,小摩CEO：认为危机对大银行有利是“荒谬的”,市场资讯,2023年04月04日 23:51,格隆汇4月4日丨CEO戴蒙表示，任何损害美国人对银行信任的危机都会损害所有银行。他表示，目前的危机确实让大银行“受益”，因为小机构的存款流入了大机构。但他称，认为当前的危机对银行巨头有利是“荒谬的”。戴蒙表示，加强地区性、中型和社区银行的实力至关重要，而全球银行既需要巨大的规模经济，也需要多样化的收入来源。戴蒙表示，监管应使银行更容易发放贷款、规避风险、为经济融资、管理银行挤兑和在必要时倒闭。他表示，如果处理得当，银行业监管可以得到调整，即几乎不会增加额外风险。责任编辑：郭明煜
经济新闻滚动,瑞信召开“末代股东大会” 167年历史最终以“非常抱歉”收尾,市场资讯,2023年04月04日 23:50,财联社值得一提的是，此前由于疫情等因素，瑞信的股东大会都是在线上举行。等到今年首度回归线下会议时，股东们的投资已经被强制低价出售。根据交易条款，瑞信股东将按22.48比1接受瑞银的股票，按照交易达成时的价格约等于每股0.76瑞郎。从K线图也能看出，对于瑞信的股东而言，不论何时买入的股票，都势必承受严重的损失。由于瑞士政府动用了紧急宪法权力，所以瑞银和瑞信的股东都被剥夺了对交易案表达意见的权利。对此，瑞士央行副主席MartinSchlegel在本周一解释称，如果不是瑞士政府紧急介入，瑞信“面临立马倒闭的风险”，并引发瑞士乃至全球的金融危机。只剩下“非常抱歉”在去年底（又一次）发布重组计划后，今年股东大会原本被视为百年瑞信触底反弹的时机，但最终成为了这家银行167年历史的终点。去年1月接手董事会主席位置的阿莱克斯·莱曼，也因此成为瑞信的“末代主席”，肩负着承接投资者怒火的重任。本次会议在苏黎世北部的一家冰球场举行，也是莱曼和CEO乌尔里奇·科纳在并购案后首度公开面向投资者发声。会场外，EthosFoundation的首席执行官VincentKaufmann接受采访时强调，因为这笔交易投资者损失了很多钱，所以需要知道管理层到底做了什么。Ethos代表了多家投资瑞信的养老基金，持股比例大致在3%-5%之间。Kaufmann表示，根据瑞士的法律，管理不善本身并不是我们可以具体针对前任管理层成员或现任管理层成员采取的行动，但我们仍然需要确保他们向投资者和市场提供了全部真相。会场外还有气候组织借着瑞信事件弄来一艘沉船，呼吁加速去油气化；而在会场内，面对数千名股东，莱曼只能低声下气地再三道歉。在开场演讲中，莱曼说到：“对于在座所有人，以及公司的管理层而言，今天都是一个悲伤的日子。所有因过去几周事态发展而感到失望、迷茫的人们，你们的痛苦、愤怒和震惊是显而易见的。我真的非常抱歉，我很抱歉无法再阻止信任沦丧。”莱曼同时解释道：“直到最后，我们都在努力寻找解决方案，但最终只剩下两个选择：合并或破产。所以这笔交易必须被通过。”莱曼在周二宣布，瑞信的5名董事会成员ShanLi、SerainaMacia、BlytheMasters、RichardMeddings和AnaPaulaPessoa不会谋求连任。此前愤怒的瑞信投资者威胁将否决股东大会上的多项提案，包括否决连任提名等。瑞信也在上周撤回了包括分红在内的多项提案。根据最新消息，瑞信的股东们以50.06%的微弱比例通过了2022财年的薪酬报告。责任编辑：周唯
外汇,芬兰正式加入北约 俄罗斯警告：将导致冲突升级 会采取反制措施,市场资讯,2023年04月04日 23:49,财联社芬兰外交部长佩卡·哈维斯周二在北约总部向美国国务卿布林肯递交了正式文件，完成了加入北约的程序。芬兰邻国瑞典也在加入北约的进程中。去年2月俄乌冲突爆发后，芬兰和瑞典都改变了实行多年的不结盟政策，两国于去年5月申请加入北约。瑞典的申请因北约成员国土耳其和匈牙利的反对而遇阻，根据北约的规则，纳入新成员须经过所有成员国一致同意。克里姆林宫发言人佩斯科夫表示，芬兰加入北约是“局势的恶化”，是“对俄罗斯安全的侵犯”，将迫使俄罗斯采取反制措施。佩斯科夫并未具体说明他指的是什么措施，但表示俄罗斯将密切关注北约在芬兰的任何军事部署。佩斯科夫称，北约是一个“不友好，甚至充满敌意”的组织，但他也强调，芬兰加入北约与乌克兰申请加入北约完全不同。俄罗斯国防部长绍伊古警告称，芬兰此举可能会加剧冲突，北约成员国正在加强他们的“反俄政策”，同时增加对乌克兰的军事援助，这将导致战争升级。北约秘书长斯托尔滕贝格表示，没有芬兰的同意，其他北约盟国的军队不会驻扎在芬兰。芬兰国防部长安蒂·凯科宁周二表示，外国军队驻扎将是未来讨论的话题。责任编辑：周唯
经济新闻滚动,比尔·盖茨首度回应“暂停训练AI”：如何在全球推行技术发展禁令？,市场资讯,2023年04月04日 23:48,财联社作为背景，总部位于波士顿的生命未来研究所（FLI）在上周发表了一封公开信，呼吁全世界实验室暂停发展比GPT-4更为先进的人工智能，并呼吁各国政府介入推进暂停AI发展。截至发稿，包括资助FLI的世界首富马斯克在内，苹果联合创始人沃兹尼亚克等近6000人已经在这份公开信上联署。作为利益相关者，力挺AI发展的比尔·盖茨也在本周接受英国媒体专访，对公开信做出了回应。盖茨表示：“我不认为命令一个特定的群体暂停（发展）能够解决所有的问题，很显然（AI）进步有着巨大的益处，我们需要做的是找出那些棘手的领域。”盖茨同时也对这项提议的可行性提出了质疑，他质疑道：“我真的不明白，那些机构、世界上每一个国家为何要同意（暂停训练先进AI），以及为什么要这么做。不可否认的是，在这个问题上有许多不同的意见”。需要强调的是，虽然盖茨早就从一线退下来，但在发展AI这件事情上仍然是最主要的参与者和推动者之一。微软也因为投资OpenAI获得了AI时代的领先位置，能够以如此强的力度全面押注AI，老董事长的作用不言自明。在3月底，盖茨在自己的博客GatesNote发表《AI时代开始了》一文，将AI称为他生命中第二次看到革命性技术展示，上一回1980年第一次看到图像用户界面，后来这种技术也发展成Windows，奠定了微软今天的地位。盖茨透露，在去年年中他给OpenAI团队布置了一份作业，要求他们训练出能通过等同于大学生物考试的AI。结果OpenAI在去年9月就交出了完美的答卷——也就是后来的GPT-4，令盖茨极为震惊。盖茨在文章中也提到了目前AI发展的问题和风险，其中也包括AI发展可能对人类形成威胁，其中包含两个层面：技术被人类用于恶意的目的，以及AI发展出自我意识并与人类利益产生冲突。盖茨表示，对于前者需要更完善的监管来限制风险，对于后者，过去几个月的突破式进展距离所谓的“强AI”——能发展自我意识的AI，仍非常遥远。但随着事件的推移，这样的问题也会变得更加紧迫。责任编辑：周唯
外汇,ChatGPT概念带火这一金属！分析称其长期势头将更为强劲,市场资讯,2023年04月04日 23:47,财联社据了解，金属锡较大比例被用作焊料来连接电子元器件的线路，锡价走势因此与半导体行业周期重合度较高，对全球经济前景变化较为敏感。几周前，美国硅谷银行和签名银行接连倒闭，之后全球系统重要性银行瑞士信贷也爆出危机，导致投资者对全球经济的前景一度非常暗淡，打压LME锡价跌至去年11月以来的最低水平。但在“瑞银宣布收购瑞信”、“美政府保证兜底银行存款”后，危机警报似乎已经解除，金融市场也走出了向好的势头。同时，OpenAI公司去年发布的聊天机器人ChatGPT热度不减，持续带动人工智能（AI）的商机和关注度。有分析人士表示，快速发展的人工智能技术对算力资源的需求飞速增加，这将增加锡的远期需求。根据国际锡业协会（ITA）上周公布的锡业愿景报告，“未来十年内，世界将不可避免地意识到锡的重要性。”协会CEOHelenPrins也写道，地缘政治、气候变化等因素，将导致锡成为各国争夺的重要资源之一。华创证券分析师马金龙等3月2日研报指出，预计2023年全球精炼锡产量39.29万吨，需求40.18万吨，供需缺口将重新扩大，增加至0.89万吨。国际锡业协会在报告中指出，锡业供应链将需要快速调整。据该协会估计，到2030年，需要14亿美元才能使锡产量增加5万吨/年。责任编辑：周唯
经济新闻滚动,维珍轨道公司申请破产保护,澎湃新闻,2023年04月04日 23:45,总部设在美国的维珍轨道公司4日申请破产保护。此前，这一主营卫星发射的企业未能获得长期融资，最终无法从今年年初的火箭发射失败中“起死回生”。据路透社报道，维珍轨道当天向特拉华地区的联邦破产法院申请破产保护，寻求出售资产。维珍轨道首席执行官丹·哈特在一份声明中说：“现阶段，我们认为依据美国《破产法》第11章走破产程序是最佳路径，以鉴定和完成资产的有效和最大化出售。”法庭文件显示，截至去年9月30日，维珍轨道资产2.43亿，总负债1.53亿。这家企业3月30日说，因再融资失败，公司将裁员近九成。维珍轨道以空基运载火箭方式发射卫星，即在一架改装过的波音747飞机飞行过程中释放火箭。火箭随即点燃助推发动机，向上爬升，最终将所携带的卫星送入轨道。2021年上市后，维珍轨道市值一度突破30亿美元。然而，由于发射任务失败，投资者对维珍轨道逐渐失去信心。今年1月，维珍轨道尝试在英国本土执行的火箭发射任务以失败告终，搭载的美国和英国情报卫星沉入海底。维珍轨道3月16日说，已暂停运营，正寻求能够维系运转的资金支持。维珍轨道股票价格当天早盘暴跌达31%，当时公司市值跌至2.3亿美元。一周后，这家企业在致员工的一封电子邮件中写道，一小组员工3月23日返回工作岗位，聚焦火箭发动机有关的工作。维珍轨道公司由英国维珍集团控股，创始人是理查德·布兰森。去年11月至今年3月，维珍集团借给维珍轨道5000万美元。这些债务以维珍轨道的设备等资产担保。布兰森名下的维珍投资有限公司3月底向维珍轨道提供1070万美元，用于员工遣散费等与裁员有关的支出。维珍轨道当时说，与裁员相关的成本大约1500万美元。维珍轨道4日说，维珍投资将通过债务人持有破产资产的融资方案，再向维珍轨道提供3160万美元。截至3日收盘，维珍轨道市值6500万美元。责任编辑：石秀珍SF183
经济新闻滚动,芬兰正式加入北约 俄外交部：将采取军事措施回应,央视网,2023年04月04日 23:44,芬兰与俄罗斯陆地边界长达1200公里，自去年2月俄乌冲突全面升级后，芬兰和瑞典放弃了长期奉行的军事中立政策，于去年5月同时申请加入北约。按照规程，北约必须在30个成员国“一致同意”前提下才能吸纳新成员。由于迟迟没有得到土耳其和匈牙利批准，芬兰和瑞典两国加入北约的进程一直搁置。今年以来，土耳其和匈牙利对芬兰加入北约一事的态度发生转变。3月27日，匈牙利国会投票表决，批准了芬兰加入北约的申请。3月30日，土耳其议会批准芬兰加入北约。匈牙利土耳其反对瑞典“入约”无时间表而截至目前，瑞典的北约成员国申请尚未得到匈牙利和土耳其的批准，也没有确定的准入时间表。匈牙利政府发言人佐尔坦·科瓦奇3月29日表示，瑞典多年来对匈牙利持“敌对态度”，瑞方代表“一再热衷于通过外交途径批评匈牙利，利用他们的政治影响力损害匈牙利的利益”。因而匈牙利暂时搁置批准瑞典加入北约申请的程序。今年1月，瑞典批准在首都斯德哥尔摩举行针对土耳其或支持库尔德人的多场示威活动，引发土方不满。土耳其总统埃尔多安表示，瑞典一直没能达到相关要求，因此土耳其无法推进批准瑞典加入北约。俄总统新闻秘书：芬兰加入北约使局势再次恶化针对芬兰正式成为北约成员国一事，俄罗斯4日表示，将被迫采取包含军事技术在内的措施予以回应。俄罗斯总统新闻秘书佩斯科夫4日表示，芬兰加入北约使局势再次恶化，北约扩张是对俄罗斯安全的蓄意侵犯。同一天，俄罗斯外交部表示，俄罗斯曾多次发出警告，将被迫采取军事技术和其他性质的回应措施，以消除芬兰加入北约后对俄罗斯国家安全造成的威胁。俄罗斯未来会在西北边境地区进行哪些具体国防建设，取决于芬兰加入北约后的具体条款，这其中包括是否在芬兰境内部署北约军事基础设施和进攻性武器系统等。责任编辑：周唯
